﻿﻿﻿﻿﻿﻿﻿﻿keys,zh,en
TRIGGER_ENDING,[💀 触发结局],[💀 Triggers Ending]
TRIGGER_BATTLE,[⚔️ 触发战斗],[⚔️ Triggers Battle]
YOU_RECEIVED,你获得,You Received
NEW_TRAITS,——新获得词条——,——New Traits——
NEW_TOWERS,——新获得防御塔——,——New Towers——
GOLD_PLUS,金币 +%d,Gold +%d
GOLD_MINUS,金币 %d,Gold %d
BATTLE_RATING,战斗评价：%s,Battle Rating: %s
INTEREST_INCOME,利息收入：%d,Interest Income: %d
STAGE_GROWTH,—— 阶段属性增长 ——,—— Stage Attribute Growth ——
OLD_AGE_DECLINE,—— 老年衰退 ——,—— Old Age Decline ——
BTN_CONTINUE_LIFE,继续人生,Continue Life
TOWER_SELECT_TITLE,选择防御塔类型,Select Tower Type
TOWER_COST,造价: %d,Cost: %d
TOWER_INFO_COST,💰 造价: %d,💰 Cost: %d
TOWER_INFO_DAMAGE,⚔ 伤害: %.0f,⚔ Damage: %.0f
TOWER_INFO_RANGE,🎯 射程: %.0f,🎯 Range: %.0f
TOWER_INFO_SPEED,⚡ 攻速: %.1f/s,⚡ Speed: %.1f/s
TOWER_INFINITE,×∞,×∞
NOT_ENOUGH_GOLD,金币不足！,Not enough gold!
NOT_ENOUGH_GOLD_NEED,金币不足！需要 %d 金币,Not enough gold! Need %d gold
BTN_CANCEL,取消,Cancel
BTN_SELL,出售,Sell
BTN_BUY,购买,Buy
SELL_PRICE_LABEL,出售价格：,Sell Price:
SELL_RATIO,(返还 %d%% 造价，含等级加成),(Returns %d%% of cost
SELL_RETURN,💰 出售（返还 %d 金币）,💰 Sell (Return %d Gold)
SELL_GOLD,%d 金币,%d Gold
DAMAGE_STATS,⚔ 伤害统计,⚔ Damage Stats
TOTAL_DAMAGE,总伤害：%.0f,Total Damage: %.0f
TOTAL_DAMAGE_INT,总伤害：%d,Total Damage: %d
NO_DATA,暂无数据,No Data
TOWER_SOLD,(已售),(Sold)
LIFE_STAGE,人生阶段,Life Stage
AGE_LABEL,年龄：%d,Age: %d
STAGE_LABEL,阶段：%s,Stage: %s
GOLD_LABEL,金币：%d,Gold: %d
TRAITS_LABEL,词条：,Traits:
BTN_TRIGGER_EVENT,触发事件,Trigger Event
DAMAGE_TYPE_MAGIC,🔮 魔法,🔮 Magic
DAMAGE_TYPE_PHYSICAL,⚔ 物理,⚔ Physical
TOWER_EXP,⭐ 经验：%d/%d    💰 造价：%d,⭐ Exp: %d/%d    💰 Cost: %d
ENEMY_HP,❤ 血量：%.0f/%.0f,❤ HP: %.0f/%.0f
ENEMY_SPEED,🏃 速度：%.0f,🏃 Speed: %.0f
ENEMY_DAMAGE,⚔ 伤害：%d,⚔ Damage: %d
ENEMY_GOLD,💰 击杀奖励：%d,💰 Kill Reward: %d
ENEMY_PHYS_RES,🛡 物抗：%.0f%%,🛡 Phys Res: %.0f%%
ENEMY_MAG_RES,🔮 魔抗：%.0f%%,🔮 Mag Res: %.0f%%
ENEMY_SLOWED,🐌 减速中（-%.0f%%，%.1fs）,🐌 Slowed (-%.0f%%, %.1fs)
ENEMY_DOT,🔥 持续伤害（%.1f/s，%.1fs）,🔥 DoT (%.1f/s, %.1fs)
ENEMY_STUNNED,💫 眩晕中（%.1fs）,💫 Stunned (%.1fs)
ENEMY_SILENCED,🔇 沉默中（%.1fs）,🔇 Silenced (%.1fs)
ENEMY_CONFUSED,❓ 混乱中（%.1fs）,❓ Confused (%.1fs)
ENEMY_ARMOR_BROKEN,🛡️ 破甲（-%.0f%%，%.1fs）,🛡️ Armor Broken (-%.0f%%, %.1fs)
ENEMY_DEBUFF,⬇️ 削弱（-%.0f%%，%.1fs）,⬇️ Debuffed (-%.0f%%, %.1fs)
META_WISDOM,人生智慧：%d,Life Wisdom: %d
META_DESTINY,命运点数：%d,Destiny Points: %d
TAB_SHOP,解锁商店,Unlock Shop
TAB_ACHIEVEMENTS,成就,Achievements
TAB_UNLOCKED,已解锁,Unlocked
SHOP_AVAILABLE,可购买内容,Available
SHOP_LOCKED,未满足条件,Requirements Not Met
TYPE_ERA,时代,Era
TYPE_PROFESSION,职业,Profession
TYPE_DIFFICULTY,难度,Difficulty
TYPE_BUFF,增益,Buff
TYPE_LABEL,类型：%s,Type: %s
PREREQ_ACHIEVEMENT,需要成就：%s,Requires Achievement: %s
LOCKED,未满足,Locked
UNLOCKED_ACHIEVEMENTS,已解锁成就 (%d),Unlocked Achievements (%d)
LOCKED_ACHIEVEMENTS,未解锁成就 (%d),Locked Achievements (%d)
REWARD_LABEL,奖励：,Reward:
UNLOCKED_ERAS,已解锁时代,Unlocked Eras
UNLOCKED_PROFESSIONS,已解锁职业,Unlocked Professions
UNLOCKED_BUFFS,已解锁增益,Unlocked Buffs
ACHIEVEMENTS_COUNT,已获得成就 (%d),Achievements Earned (%d)
DAMAGE_BONUS_UNIVERSAL,伤害加成（通用）：+%.0f%%,Damage Bonus (Universal): +%.0f%%
DAMAGE_BONUS_SPECIFIC,伤害加成（%s）：+%.0f%%,Damage Bonus (%s): +%.0f%%
ATTACK_SPEED_UNIVERSAL,攻速加成（通用）：+%.0f%%,Attack Speed Bonus (Universal): +%.0f%%
ATTACK_SPEED_SPECIFIC,攻速加成（%s）：+%.0f%%,Attack Speed Bonus (%s): +%.0f%%
DAMAGE_REDUCTION,伤害减免：%.0f%%,Damage Reduction: %.0f%%
GOLD_PER_WAVE,每波额外金币：+%.0f,Extra Gold Per Wave: +%.0f
EFFECT_TOWER_DAMAGE,塔伤害+%.0f%%,Tower Damage +%.0f%%
EFFECT_TOWER_SPEED,塔攻速+%.0f%%,Tower Speed +%.0f%%
EFFECT_GOLD_BONUS,金币%+d,Gold %+d
EFFECT_HEALTH_BONUS,生命%+d,Health %+d
EFFECT_GOLD_PER_WAVE,每波金币+%d,Gold Per Wave +%d
EFFECT_DAMAGE_REDUCTION,伤害减免%.0f%%,Damage Reduction %.0f%%
EFFECT_EVENT_TRIGGER,事件触发率%+.0f%%,Event Trigger Rate %+.0f%%
ATTR_INTELLIGENCE,智力,Intelligence
ATTR_COURAGE,勇气,Courage
ATTR_HEALTH,健康,Health
ATTR_CHARM,魅力,Charm
ATTR_WORK_ABILITY,工作能力,Work Ability
ATTR_LUCK,运气,Luck
BG_FARMER,农民,Farmer
BG_WORKER,工人,Worker
BG_MERCHANT,商人,Merchant
BG_CADRE,干部,Cadre
BG_FARMER_OR_WORKER,农民或工人,Farmer or Worker
REQ_HAS_TRAIT,拥有「%s」,"Has ""%s"""
REQ_NOT_TRAIT,非「%s」,"Not ""%s"""
REQ_GOLD,金币≥%d,Gold≥%d
REQ_FAMILY,家庭背景：%s,Family: %s
REQ_NOT_FAMILY,非%s家庭,Not %s Family
REQ_EDUCATION,学历：%s,Education: %s
REQ_WORK_ABILITY,工作能力≥%d,Work Ability≥%d
NO_SAVE,没有可载入的存档,No save to load
CURRENCY_WISDOM,人生智慧,Life Wisdom
CURRENCY_DESTINY,命运点数,Destiny Points
QUIET_YEAR_TITLE,今年无事发生,Nothing happened this year
SELL_TOWER,💰 出售防御塔,💰 Sell Tower
TOWER_CHINESE_BASIC_NAME,语文之塔,Chinese Basics Tower
TOWER_CHINESE_ADVANCED_NAME,语文之塔·进阶,Chinese Advanced Tower
TOWER_MATH_BASIC_NAME,数学之塔,Math Tower
TOWER_MATH_ADVANCED_NAME,数学之塔·进阶,Math Advanced Tower
TOWER_MATH_MASTER_NAME,数学之塔·大师,Math Master Tower
TOWER_ENGLISH_BASIC_NAME,英语之塔,English Tower
TOWER_SCIENCE_BASIC_NAME,理综之塔,Science Tower
TOWER_SCIENCE_ADVANCED_NAME,理综之塔·进阶,Science Advanced Tower
TOWER_PROGRAMMING_BASIC_NAME,编程之塔,Programming Tower
TOWER_PROGRAMMING_ADVANCED_NAME,编程之塔·进阶,Programming Advanced Tower
TOWER_TIME_BASIC_NAME,时间管理塔,Time Management Tower
TOWER_TIME_ADVANCED_NAME,时间管理塔·进阶,Time Management Adv. Tower
TOWER_COMMUNICATION_BASIC_NAME,沟通能力塔,Communication Tower
TOWER_COMMUNICATION_ADVANCED_NAME,沟通能力塔·进阶,Communication Adv. Tower
TOWER_NETWORK_BASIC_NAME,人脉关系塔,Networking Tower
TOWER_FINANCE_BASIC_NAME,理财能力塔,Finance Tower
TOWER_SPORTS_BASIC_NAME,体育之塔,Sports Tower
TOWER_ARTIST_BASIC_NAME,艺术之塔,Art Tower
TOWER_ENGINEER_BASIC_NAME,工程之塔,Engineering Tower
TOWER_PROFESSION_BASIC_NAME,职业之塔,Profession Tower
TOWER_BUSINESS_BASIC_NAME,商业之塔,Business Tower
TOWER_BUSINESS_ADVANCED_NAME,商业之塔·进阶,Business Advanced Tower
TOWER_HISTORY_ADVANCED_NAME,历史之塔·进阶,History Advanced Tower
TOWER_HISTORY_MASTER_NAME,历史之塔·大师,History Master Tower
TOWER_LEADERSHIP_ADVANCED_NAME,领导力之塔·进阶,Leadership Adv. Tower
TOWER_FIRE_ADVANCED_NAME,烈焰塔,Flame Tower
TOWER_ICE_ADVANCED_NAME,寒冰塔,Ice Tower
TOWER_RUINS_NAME,防御塔废墟,Tower Ruins
ENEMY_HOMEWORK_NAME,作业怪,Homework Monster
ENEMY_EXAM_NAME,考试怪,Exam Monster
ENEMY_BILL_NAME,账单怪,Bill Monster
ENEMY_996_NAME,996怪,996 Monster
ENEMY_CHRONIC_DISEASE_NAME,慢性病,Chronic Disease
ENEMY_LONELINESS_NAME,孤独怪,Loneliness Monster
ENEMY_RECESSION_NAME,经济衰退,Recession
ENEMY_MEMORY_LOSS_NAME,记忆衰退,Memory Loss
ENEMY_PRESSURE_SCHOOL_NAME,升学压力,School Pressure
ENEMY_INVOLUTION_NAME,内卷怪,Involution Monster
ENEMY_BOSS_MIDLIFE_CRISIS_NAME,中年危机,Midlife Crisis Boss
ENEMY_BOSS_FINAL_JUDGMENT_NAME,最终审判,Final Judgment Boss
EVENT_KINDERGARTEN_SHOW_NAME,幼儿园表演,Kindergarten Performance
EVENT_KINDERGARTEN_SHOW_DESC,幼儿园要举办六一表演，老师问你想参加什么节目。,The kindergarten is holding a Children's Day show. The teacher asks what you'd like to perform.
EVENT_MATH_CONTEST_NAME,数学竞赛,Math Competition
EVENT_MATH_CONTEST_DESC,学校举办数学竞赛，班主任鼓励你参加。,Your school is hosting a math contest. Your homeroom teacher encourages you to participate.
EVENT_HOBBY_CLASS_NAME,兴趣班选择,Hobby Class Choice
EVENT_HOBBY_CLASS_DESC,父母想给你报个兴趣班，但家里预算有限。,"Your parents want to sign you up for a hobby class, but the family budget is limited."
EVENT_PEER_CONFLICT_NAME,同伴冲突,Peer Conflict
EVENT_PEER_CONFLICT_DESC,班上的调皮鬼抢了你的文具，还嘲笑你。,A class bully took your stationery and made fun of you.
EVENT_FAMILY_CRISIS_NAME,家庭变故,Family Crisis
EVENT_FAMILY_CRISIS_DESC,爸爸失业了，家里气氛很压抑。,Dad lost his job. The atmosphere at home is heavy.
EVENT_ZHONGKAO_NAME,中考分流,High School Entrance Exam
EVENT_ZHONGKAO_DESC,中考成绩出来了，你面临人生第一次重大分流。,Your Zhongkao results are out. You face your first major life fork in the road.
EVENT_GAOKAO_CHOICE_NAME,高考志愿,College Application
EVENT_GAOKAO_CHOICE_DESC,十二年寒窗苦读，只为今朝一搏。高考成绩出来了，你要填报哪个志愿？,Twelve years of hard work come down to this moment. Your Gaokao scores are out — which major will you choose?
EVENT_COLLEGE_LOVE_NAME,大学恋爱,College Romance
EVENT_COLLEGE_LOVE_DESC,大学里遇到了心动的人，你要不要表白？,You met someone special in college. Will you confess your feelings?
EVENT_MASTER_OR_WORK_NAME,人生岔路口,Life Crossroads
EVENT_MASTER_OR_WORK_DESC,大学毕业在即，你面临人生重大选择：考研还是工作？,College graduation is approaching. You face a major choice: grad school or work?
EVENT_FIRST_JOB_NAME,第一份工作,First Job
EVENT_FIRST_JOB_DESC,你收到了几个Offer，要选哪个？,You received several offers. Which one will you pick?
EVENT_RENT_HOUSE_NAME,租房困境,Renting Dilemma
EVENT_RENT_HOUSE_DESC,工作后要租房，你要选什么样的房子？,You need to rent a place after starting work. What kind of apartment will you choose?
EVENT_WORKPLACE_NEWBIE_NAME,职场新人,Workplace Newbie
EVENT_WORKPLACE_NEWBIE_DESC,刚入职场的你，遇到了老员工甩锅。,"As a new employee, a senior colleague shifts their work onto you."
EVENT_MARRIAGE_PRESSURE_NAME,催婚,Marriage Pressure
EVENT_MARRIAGE_PRESSURE_DESC,过年回家，亲戚都在催婚。,"Going home for New Year, all your relatives are pressuring you to get married."
EVENT_CAREER_BREAKTHROUGH_NAME,职场突破,Career Breakthrough
EVENT_CAREER_BREAKTHROUGH_DESC,工作几年后，你终于等来了一个独当一面的机会，但压力也更大了。,"After working for several years, you finally get a chance to lead — but the pressure is even greater."
EVENT_FRIEND_WEDDING_NAME,朋友婚礼,Friend's Wedding
EVENT_FRIEND_WEDDING_DESC,大学好友结婚了，你在婚礼上感慨万千。,"Your college best friend got married. At the wedding, you're filled with emotion."
EVENT_SIDE_HUSTLE_NAME,副业机会,Side Hustle Opportunity
EVENT_SIDE_HUSTLE_DESC,朋友拉你一起做副业，说能赚大钱。,"A friend invites you to start a side business together, saying it could make big money."
EVENT_CAREER_SWITCH_NAME,职业转型,Career Change
EVENT_CAREER_SWITCH_DESC,你开始觉得当前的工作不适合自己，想要尝试新的方向。,You've started feeling that your current job isn't right for you and want to try a new direction.
EVENT_HOME_PURCHASE_NAME,买房安家,Buying a Home
EVENT_HOME_PURCHASE_DESC,你攒了一些钱，开始考虑买一套属于自己的房子。,You've saved some money and are considering buying your own place.
EVENT_PET_COMPANION_NAME,毛茸茸的陪伴,Furry Companion
EVENT_PET_COMPANION_DESC,你路过宠物店，一只小猫/小狗一直看着你。,You pass by a pet shop. A kitten/puppy keeps looking at you.
EVENT_HOUSE_LOAN_NAME,买房,Mortgage
EVENT_HOUSE_LOAN_DESC,你考虑买一套属于自己的房子。,You're considering buying your own home.
EVENT_CHILDREN_EDUCATION_NAME,子女教育,Children's Education
EVENT_CHILDREN_EDUCATION_DESC,孩子要上学了，你要怎么培养？,Your child needs to start school. How will you raise them?
EVENT_PARENTS_CARE_NAME,父母养老,Caring for Parents
EVENT_PARENTS_CARE_DESC,父母年纪大了，需要人照顾。,Your parents are getting older and need someone to care for them.
EVENT_CAREER_PROMOTION_NAME,晋升机会,Promotion Opportunity
EVENT_CAREER_PROMOTION_DESC,公司有个晋升机会，但需要付出大量时间。,"There's a promotion opportunity at your company, but it requires sacrificing a lot of personal time."
EVENT_HEALTH_WARNING_NAME,健康预警,Health Warning
EVENT_HEALTH_WARNING_DESC,体检报告出来了，多项指标异常。,Your physical exam results came back with multiple abnormal indicators.
EVENT_SERIOUS_DISEASE_NAME,癌症早期,Early-Stage Cancer
EVENT_SERIOUS_DISEASE_DESC,体检发现癌症早期，需要立即治疗。,The physical exam found early-stage cancer. Immediate treatment is needed.
EVENT_ACCIDENT_NAME,车祸,Car Accident
EVENT_ACCIDENT_DESC,下班路上遭遇车祸。,You were in a car accident on your way home from work.
EVENT_WORK_BURNOUT_NAME,职场倦怠,Work Burnout
EVENT_WORK_BURNOUT_DESC,日复一日的工作让你感到疲惫不堪，你开始怀疑这一切是否值得。,Day after day of work has left you exhausted. You're starting to question whether it's all worth it.
EVENT_INVESTMENT_NAME,投资理财,Investment Opportunity
EVENT_INVESTMENT_DESC,朋友推荐了一个投资项目，听起来回报不错。,A friend recommended an investment project that sounds promising.
EVENT_NEIGHBOR_DISPUTE_NAME,邻里纠纷,Neighbor Dispute
EVENT_NEIGHBOR_DISPUTE_DESC,楼上邻居半夜噪音不断，多次沟通无果。,The upstairs neighbor makes noise late at night despite repeated complaints.
EVENT_CHILDREN_GROWING_NAME,孩子长大了,Kids Growing Up
EVENT_CHILDREN_GROWING_DESC,孩子渐渐长大，开始有了自己的想法，你们之间的代沟越来越深。,Your child is growing up and developing their own ideas. The generation gap between you keeps widening.
EVENT_MIDLIFE_SKILL_NAME,中年学技能,Midlife Skill Learning
EVENT_MIDLIFE_SKILL_DESC,你突然想学一项新技能，给生活增添些乐趣。,You suddenly want to learn a new skill to add some joy to life.
EVENT_RETIREMENT_PLAN_NAME,退休规划,Retirement Planning
EVENT_RETIREMENT_PLAN_DESC,到了退休的年纪，你开始思考如何度过余生。,"At retirement age, you're thinking about how to spend the rest of your life."
EVENT_CHRONIC_ILLNESS_NAME,慢性病困扰,Chronic Illness
EVENT_CHRONIC_ILLNESS_DESC,年纪大了，身体开始出现各种慢性病，需要长期调养。,"Getting old, various chronic health issues appear. Long-term care is needed."
EVENT_FAMILY_REUNION_NAME,家庭团聚,Family Reunion
EVENT_FAMILY_REUNION_DESC,节假日到了，你感慨万千。,It's the holidays. You're filled with emotion.
EVENT_OLD_FRIEND_NAME,老友重逢,Reuniting with Old Friends
EVENT_OLD_FRIEND_DESC,在公园遇到了多年未见的老朋友，你们聊起了往事。,You ran into an old friend you haven't seen in years at the park. You started reminiscing.
EVENT_LEGACY_NAME,传承智慧,Passing Down Wisdom
EVENT_LEGACY_DESC,你决定把自己一生的经验传授给年轻人。,You decide to share a lifetime of experience with younger generations.
EVENT_HEALTH_CRISIS_NAME,健康危机,Health Crisis
EVENT_HEALTH_CRISIS_DESC,一次严重的身体警报让你意识到时间不多了。,A serious health alert made you realize time is running out.
EVENT_LIFE_REFLECTION_NAME,人生感悟,Life Reflections
EVENT_LIFE_REFLECTION_DESC,坐在窗前，你回望这一生，百感交集。,"Sitting by the window, you look back on this life with mixed feelings."
EVENT_PUBERTY_REBELLION_NAME,青春叛逆,Puberty Rebellion
EVENT_PUBERTY_REBELLION_DESC,你开始对大人的规矩感到厌烦，想要按自己的方式生活。,You've grown tired of adult rules and want to live life your own way.
EVENT_FIRST_LOVE_NAME,初恋,First Love
EVENT_FIRST_LOVE_DESC,你对班上的一个同学产生了朦胧的好感。,You developed a crush on a classmate.
EVENT_MIDLIFE_CONFUSION_NAME,中年迷茫,Midlife Confusion
EVENT_MIDLIFE_CONFUSION_DESC,你突然对日复一日的生活感到迷茫，不知道这一切有什么意义。,"You suddenly feel lost about day-to-day life, wondering what it all means."
EVENT_RETIREMENT_HOBBY_NAME,退休爱好,Retirement Hobby
EVENT_RETIREMENT_HOBBY_DESC,退休后时间多了，你想培养一个新爱好。,"With more free time after retirement, you want to cultivate a new hobby."
EVENT_OLD_FRIEND_PASSING_NAME,故人离去,Passing of an Old Friend
EVENT_OLD_FRIEND_PASSING_DESC,一位多年的老友去世了，你参加了葬礼，感慨万千。,"An old friend of many years passed away. You attended the funeral, filled with emotion."
EVENT_TWILIGHT_WISDOM_NAME,暮年感悟,Twilight Wisdom
EVENT_TWILIGHT_WISDOM_DESC,坐在夕阳下，你忽然想通了很多事情。,"Sitting in the sunset, you suddenly understood many things."
OPTION_KINDERGARTEN_SHOW_A_TEXT,参加合唱团,Join the choir
OPTION_KINDERGARTEN_SHOW_B_TEXT,参加朗诵比赛,Join the recitation contest
OPTION_KINDERGARTEN_SHOW_C_TEXT,当观众就好,Just be an audience member
OPTION_MATH_CONTEST_A_TEXT,努力准备，冲刺名次,"Study hard, aim for top ranking"
OPTION_MATH_CONTEST_B_TEXT,随便参加，重在参与,"Participate casually, just for fun"
OPTION_MATH_CONTEST_C_TEXT,放弃参加，去踢球,"Skip it, go play soccer instead"
OPTION_HOBBY_CLASS_A_TEXT,学钢琴,Learn piano
OPTION_HOBBY_CLASS_B_TEXT,学编程,Learn programming
OPTION_HOBBY_CLASS_C_TEXT,自学，不花钱,"Self-study, save money"
OPTION_HOBBY_CLASS_D_TEXT,帮家里干活,Help with chores at home
OPTION_PEER_CONFLICT_A_TEXT,告诉老师,Tell the teacher
OPTION_PEER_CONFLICT_B_TEXT,自己解决，打回去,"Handle it myself, fight back"
OPTION_PEER_CONFLICT_C_TEXT,忍气吞声,Swallow my pride
OPTION_PEER_CONFLICT_D_TEXT,告诉家长，让家长处理,"Tell my parents, let them handle it"
OPTION_FAMILY_CRISIS_A_TEXT,努力学习，不让爸妈操心,"Study hard, don't worry Mom and Dad"
OPTION_FAMILY_CRISIS_B_TEXT,帮家里找兼职,Help find part-time work for the family
OPTION_FAMILY_CRISIS_C_TEXT,像往常一样玩耍,Play as usual
OPTION_FAMILY_CRISIS_D_TEXT,问爸妈要不要辍学,Ask if I should drop out of school
OPTION_ZHONGKAO_A_TEXT,冲刺重点高中,Go for a top high school
OPTION_ZHONGKAO_B_TEXT,读普通高中,Go to a regular high school
OPTION_ZHONGKAO_C_TEXT,读职高，学技术,"Go to vocational school, learn a trade"
OPTION_GAOKAO_CHOICE_A_TEXT,冲刺清华北大,Aim for Tsinghua or Peking University
OPTION_GAOKAO_CHOICE_B_TEXT,正常发挥，考个一本,"Do my best, get into a Tier 1 university"
OPTION_GAOKAO_CHOICE_C_TEXT,二本也行，选个好专业,"Tier 2 is fine, pick a good major"
OPTION_GAOKAO_CHOICE_D_TEXT,放弃高考，直接工作,"Skip Gaokao, start working directly"
OPTION_COLLEGE_LOVE_A_TEXT,勇敢表白,Bravely confess
OPTION_COLLEGE_LOVE_B_TEXT,暗恋，不说破,"Keep it a secret, never say it"
OPTION_COLLEGE_LOVE_C_TEXT,恋爱哪有学习重要,"Love can wait, studies come first"
OPTION_MASTER_OR_WORK_A_TEXT,考研深造,Pursue a master's degree
OPTION_MASTER_OR_WORK_B_TEXT,直接工作，积累经验,"Start working, gain experience"
OPTION_MASTER_OR_WORK_C_TEXT,创业！改变世界！,Start a startup! Change the world!
OPTION_FIRST_JOB_A_TEXT,大厂Offer，996但钱多,"Big tech offer, 996 but high pay"
OPTION_FIRST_JOB_B_TEXT,国企，稳定但工资一般,"State-owned enterprise, stable but average pay"
OPTION_FIRST_JOB_C_TEXT,创业公司，有风险但可能暴富,"Startup, risky but could strike it rich"
OPTION_RENT_HOUSE_A_TEXT,市中心，贵但方便,"City center, expensive but convenient"
OPTION_RENT_HOUSE_B_TEXT,郊区，便宜但远,"Suburbs, cheap but far"
OPTION_RENT_HOUSE_C_TEXT,跟别人合租,Share with roommates
OPTION_WORKPLACE_NEWBIE_A_TEXT,默默接受，多干活,"Accept silently, work harder"
OPTION_WORKPLACE_NEWBIE_B_TEXT,找领导说明情况,Talk to my manager about it
OPTION_WORKPLACE_NEWBIE_C_TEXT,以牙还牙，甩回去,"Give as good as I get, shift it back"
OPTION_MARRIAGE_PRESSURE_A_TEXT,顺从父母，去相亲,"Obey parents, go on blind dates"
OPTION_MARRIAGE_PRESSURE_B_TEXT,坚持不婚主义,Stay single forever
OPTION_MARRIAGE_PRESSURE_C_TEXT,已有对象，带回家见父母,"Already have someone, bring them home"
OPTION_CAREER_BREAKTHROUGH_A_TEXT,主动请缨，承担核心项目,Volunteer for the core project
OPTION_CAREER_BREAKTHROUGH_B_TEXT,稳扎稳打，做好本职工作,"Play it safe, do my job well"
OPTION_CAREER_BREAKTHROUGH_C_TEXT,跳槽到更好的平台,Jump ship to a better platform
OPTION_FRIEND_WEDDING_A_TEXT,送上厚礼，真心祝福,"Give a generous gift, sincere blessings"
OPTION_FRIEND_WEDDING_B_TEXT,趁机社交，拓展人脉,"Use it to network, expand connections"
OPTION_FRIEND_WEDDING_C_TEXT,独自喝闷酒,Drink alone in silence
OPTION_SIDE_HUSTLE_A_TEXT,投入积蓄全力做,Put all savings into it
OPTION_SIDE_HUSTLE_B_TEXT,小规模试水,"Start small, test the waters"
OPTION_SIDE_HUSTLE_C_TEXT,婉拒，专注本职,"Decline politely, focus on main job"
OPTION_CAREER_SWITCH_A_TEXT,辞职去创业,Quit and start a business
OPTION_CAREER_SWITCH_B_TEXT,先兼职试试水,Try part-time first
OPTION_CAREER_SWITCH_C_TEXT,算了，稳定最重要,"Never mind, stability comes first"
OPTION_HOME_PURCHASE_A_TEXT,咬咬牙，贷款买,"Bite the bullet, get a mortgage"
OPTION_HOME_PURCHASE_B_TEXT,先租着吧，不急,"Keep renting, no rush"
OPTION_HOME_PURCHASE_C_TEXT,回老家买房,Buy back in hometown
OPTION_PET_COMPANION_A_TEXT,带它回家！,Take it home!
OPTION_PET_COMPANION_B_TEXT,经常来看看它,Visit it often
OPTION_PET_COMPANION_C_TEXT,算了，养宠物太麻烦,"Never mind, pets are too much trouble"
OPTION_HOUSE_LOAN_A_TEXT,贷款买大房子,Get a mortgage for a big house
OPTION_HOUSE_LOAN_B_TEXT,买个小点的，压力小,"Buy smaller, less pressure"
OPTION_HOUSE_LOAN_C_TEXT,不买了，租房住,"Don't buy, keep renting"
OPTION_CHILDREN_EDUCATION_A_TEXT,报各种补习班,Sign up for every cram school
OPTION_CHILDREN_EDUCATION_B_TEXT,快乐教育，顺其自然,"Happy education, let nature take its course"
OPTION_CHILDREN_EDUCATION_C_TEXT,送孩子出国,Send child abroad
OPTION_CHILDREN_EDUCATION_D_TEXT,还没孩子，专注事业,"No kids yet, focus on career"
OPTION_PARENTS_CARE_A_TEXT,接来同住,Have them move in
